37, ,ARC201,ARC,TBA,6.0,01,Su(09:00 AM-12:05 PM-UB40901) Th(09:00 AM-12:05 PM-UB40901) Tu(09:00 AM-12:05 PM-UB40902),40,40,0
38, ,ARC225,ARC,TBA,2.0,01,Mo(09:00 AM-09:55 AM-UB40901) We(09:00 AM-09:55 AM-UB40901),40,12,28
39, ,ARC231,ARC,TBA,2.0,01,Mo(11:10 AM-12:05 PM-UB40902) We(11:10 AM-12:05 PM-UB40902),40,27,13
40, ,ARC241,ARC,TBA,2.0,01,Su(12:15 PM-01:10 PM-UB40902) Tu(12:15 PM-01:10 PM-UB40902),40,1,39
41, ,ARC251,ARC,TBA,2.0,01,Mo(10:05 AM-11:00 AM-UB40903) We(10:05 AM-11:00 AM-UB40903),40,2,38
42, ,ARC252,ARC,TBA,2.0,01,Mo(11:10 AM-12:05 PM-UB41001) We(11:10 AM-12:05 PM-UB41001),40,1,39
43, ,ARC292,ARC,TBA,2.0,01,Th(02:00 PM-04:00 PM-UB40901) Th(04:10 PM-05:05 PM-UB40901),40,42,-2
44, ,ARC293,ARC,TBA,2.0,01,Th(02:00 PM-05:05 PM-UB40902),40,29,11
45, ,ARC301,ARC,TBA,8.0,01,Su(09:00 AM-01:10 PM-UB40901) Th(09:00 AM-01:10 PM-UB40901) Tu(09:00 AM-01:10 PM-UB40901),40,20,20
46, ,ARC302,ARC,TBA,8.0,01,Su(09:00 AM-01:10 PM-UB40902) Th(09:00 AM-01:10 PM-UB40902) Tu(09:00 AM-01:10 PM-UB40902),60,62,-2
47, ,ARC315,ARC,TBA,1.5,01,We(02:00 PM-05:05 PM-UB40901),40,20,20
48, ,ARC331,ARC,TBA,2.0,01,Mo(10:05 AM-11:00 AM-UB40901) We(10:05 AM-11:00 AM-UB40901),40,37,3
49, ,ARC343,ARC,TBA,2.0,01,Su(02:00 PM-02:55 PM-UB40903) Tu(02:00 PM-02:55 PM-UB40903),40,21,19
50, ,ARC401,ARC,TBA,10.0,01,Su(02:00 PM-05:05 PM-UB40901) Su(09:00 AM-01:10 PM-UB41001) Th(09:00 AM-01:10 PM-UB41001) Tu(09:00 AM-01:10 PM-UB41001),40,26,14
